YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-08,WEEKDAY,7,TRAIN,SW4,13750,1495
2024-08,WEEKDAY,22,TRAIN,DT33,3681,23990
2024-08,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1887,10249
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,21692,42244
2024-08,WEEKDAY,11,TRAIN,EW24/NS1,35099,64816
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,NS13,18967,28896
2024-08,WEEKDAY,21,TRAIN,NS13,41594,69139
2024-08,WEEKDAY,5,TRAIN,NS13,27446,4533
2024-08,WEEKENDS/HOLIDAY,5,TRAIN,NS13,6189,878
2024-08,WEEKENDS/HOLIDAY,5,TRAIN,PW6,143,7
2024-08,WEEKDAY,5,TRAIN,PW6,618,12
2024-08,WEEKENDS/HOLIDAY,13,TRAIN,CC21,6194,6472
2024-08,WEEKDAY,13,TRAIN,CC21,15718,10103
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1959,2286
2024-08,WEEKDAY,14,TRAIN,PE7,3239,5038
2024-08,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3103,2168
2024-08,WEEKDAY,10,TRAIN,CC20,6070,3266
2024-08,WEEKENDS/HOLIDAY,21,TRAIN,EW25,2751,6533
2024-08,WEEKDAY,21,TRAIN,EW25,5081,15599
2024-08,WEEKDAY,16,TRAIN,CC2,7976,4157
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3406,2848
2024-08,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2694,2926
2024-08,WEEKDAY,14,TRAIN,CC12,9820,6139
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,NS20,17689,13839
2024-08,WEEKDAY,16,TRAIN,NS20,61964,30878
2024-08,WEEKENDS/HOLIDAY,16,TRAIN,NS14,15847,13468
2024-08,WEEKDAY,16,TRAIN,NS14,28124,33206
2024-08,WEEKDAY,11,TRAIN,NS15,19902,13865
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,NS15,7279,3573
2024-08,WEEKDAY,5,TRAIN,EW21/CC22,2326,1419
2024-08,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,479,171
2024-08,WEEKDAY,11,TRAIN,BP4,7242,2874
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1088,574
2024-08,WEEKDAY,11,TRAIN,NS27/CE2/TE20,5238,5110
2024-08,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1501,2624
2024-08,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,19167,13854
