from_station_name,to_station_name,trip_duration_in_minutes
Botanic Gardens,Bedok Reservoir,39
Botanic Gardens,Bencoolen,25
Botanic Gardens,Bendemeer,29
Botanic Gardens,Bishan,14
Botanic Gardens,Boon Keng,20
Botanic Gardens,Boon Lay,35
Botanic Gardens,Botanic Gardens,0
Botanic Gardens,Braddell,20
Botanic Gardens,Bras Basah,25
Botanic Gardens,Bright Hill,20
Botanic Gardens,Buangkok,33
Botanic Gardens,Bugis,13
Botanic Gardens,Bukit Batok,35
Botanic Gardens,Bukit Gombak,37
Botanic Gardens,Bukit Panjang,20
Botanic Gardens,Buona Vista,12
Botanic Gardens,Caldecott,10
Botanic Gardens,Canberra,37
Botanic Gardens,Cashew,18
Botanic Gardens,Changi Airport,56
Botanic Gardens,Chinatown,21
Botanic Gardens,Chinese Garden,30
Botanic Gardens,Choa Chu Kang,36
Botanic Gardens,City Hall,22
Botanic Gardens,Clarke Quay,20
Botanic Gardens,Clementi,23
Botanic Gardens,Commonwealth,20
Botanic Gardens,Dakota,29
Botanic Gardens,Dhoby Ghaut,18
Botanic Gardens,Dover,21
Botanic Gardens,Downtown,18
Botanic Gardens,Esplanade,23
Botanic Gardens,Eunos,31
Botanic Gardens,Expo,51
Botanic Gardens,Farrer Park,18
Botanic Gardens,Farrer Road,7
Botanic Gardens,Fort Canning,24
Botanic Gardens,Gardens by the Bay,29
Botanic Gardens,Geylang Bahru,31
Botanic Gardens,Great World,18
Botanic Gardens,Gul Circle,43
Botanic Gardens,HarbourFront,27
Botanic Gardens,Havelock,20
Botanic Gardens,Haw Par Villa,19
Botanic Gardens,Hillview,17
Botanic Gardens,Holland Village,10
Botanic Gardens,Hougang,31
Botanic Gardens,Jalan Besar,27
Botanic Gardens,Joo Koon,40
Botanic Gardens,Jurong East,27
Botanic Gardens,Kaki Bukit,36
Botanic Gardens,Kallang,24
Botanic Gardens,Kembangan,32
Botanic Gardens,Kent Ridge,16
Botanic Gardens,Khatib,32
Botanic Gardens,King Albert Park,9
Botanic Gardens,Kovan,29
Botanic Gardens,Kranji,49
Botanic Gardens,Labrador Park,23
Botanic Gardens,Lakeside,32
Botanic Gardens,Lavender,22
Botanic Gardens,Lentor,25
Botanic Gardens,Little India,10
Botanic Gardens,Lorong Chuan,18
Botanic Gardens,MacPherson,27
Botanic Gardens,Marina Bay,25
Botanic Gardens,Marina South Pier,29
Botanic Gardens,Marsiling,45
Botanic Gardens,Marymount,12
Botanic Gardens,Mattar,33
Botanic Gardens,Maxwell,24
Botanic Gardens,Mayflower,22
Botanic Gardens,Mountbatten,27
Botanic Gardens,Napier,13
Botanic Gardens,Newton,8
Botanic Gardens,Nicoll Highway,23
Botanic Gardens,Novena,16
Botanic Gardens,Orchard,16
Botanic Gardens,Orchard Boulevard,14
Botanic Gardens,Outram Park,22
Botanic Gardens,Pasir Panjang,21
Botanic Gardens,Pasir Ris,48
Botanic Gardens,Paya Lebar,28
Botanic Gardens,Pioneer,37
Botanic Gardens,Potong Pasir,22
Botanic Gardens,Promenade,14
Botanic Gardens,Punggol,38
Botanic Gardens,Queenstown,22
Botanic Gardens,Raffles Place,24
Botanic Gardens,Redhill,25
Botanic Gardens,Rochor,11
Botanic Gardens,Sembawang,39
Botanic Gardens,Sengkang,35
Botanic Gardens,Serangoon,19
Botanic Gardens,Shenton Way,25
Botanic Gardens,Simei,43
Botanic Gardens,Sixth Avenue,7
Botanic Gardens,Somerset,18
Botanic Gardens,Springleaf,28
Botanic Gardens,Stadium,25
Botanic Gardens,Stevens,5
Botanic Gardens,Tai Seng,25
Botanic Gardens,Tampines,44
Botanic Gardens,Tampines East,46
Botanic Gardens,Tampines West,42
Botanic Gardens,Tan Kah Kee,5
Botanic Gardens,Tanah Merah,38
Botanic Gardens,Tanjong Pagar,27
Botanic Gardens,Telok Ayer,20
Botanic Gardens,Telok Blangah,25
Botanic Gardens,Tiong Bahru,27
Botanic Gardens,Toa Payoh,18
Botanic Gardens,Tuas Crescent,46
Botanic Gardens,Tuas Link,50
Botanic Gardens,Tuas West Road,48
Botanic Gardens,Ubi,34
Botanic Gardens,Upper Changi,49
Botanic Gardens,Upper Thomson,18
Botanic Gardens,Woodlands,34
